Epoch [411/1000], Train Loss: 6.2583, Val Loss: 6.4564
Epoch [412/1000], Train Loss: 6.2558, Val Loss: 6.4549
Epoch [413/1000], Train Loss: 6.2535, Val Loss: 6.4535
Epoch [414/1000], Train Loss: 6.2512, Val Loss: 6.4520
Epoch [415/1000], Train Loss: 6.2486, Val Loss: 6.4506
Epoch [416/1000], Train Loss: 6.2466, Val Loss: 6.4491
Epoch [417/1000], Train Loss: 6.2460, Val Loss: 6.4477
Epoch [418/1000], Train Loss: 6.2433, Val Loss: 6.4462
Epoch [419/1000], Train Loss: 6.2410, Val Loss: 6.4448
Epoch [420/1000], Train Loss: 6.2399, Val Loss: 6.4433
Epoch [421/1000], Train Loss: 6.2376, Val Loss: 6.4419
